processed_at,source,destination,category,confidence,method,legal_domain,authority,title,metadata_path
2026-08-06T21:02:24.884423+00:00,D:\Nova Legal\Indian Legal\raw\MinistersResidenceRules19625B15D.pdf,D:\Nova Legal\Indian Legal\Category\rules\MinistersResidenceRules19625B15D.pdf,rules,0.8208,rules,service_law,rules,"MINISTERS – RESIDENCES RULES, 1962",D:\Nova Legal\Indian Legal\Category\rules\MinistersResidenceRules19625B15D.pdf.metadata.json
2026-08-06T21:02:52.885763+00:00,D:\Nova Legal\Indian Legal\raw\MPReorgAct2000_1309135B15D.PDF,D:\Nova Legal\Indian Legal\Category\high_court_judgments\MPReorgAct2000_1309135B15D.PDF,high_court_judgments,0.6831,rules,banking_and_finance_law,high_court,tere Be Pewee-33004 / 2000,D:\Nova Legal\Indian Legal\Category\high_court_judgments\MPReorgAct2000_1309135B15D.PDF.metadata.json
2026-08-06T21:03:18.436466+00:00,D:\Nova Legal\Indian Legal\raw\NationalSecAmndmntAct19845B15D.pdf,D:\Nova Legal\Indian Legal\Category\amendment_acts\NationalSecAmndmntAct19845B15D.pdf,amendment_acts,0.712,rules,family_law,central_act,etait #. st (#1) 72 REGISTERED No. D-(D)-72,D:\Nova Legal\Indian Legal\Category\amendment_acts\NationalSecAmndmntAct19845B15D.pdf.metadata.json
2026-08-06T21:03:21.063859+00:00,D:\Nova Legal\Indian Legal\raw\NBK04082026RFA732025_172059.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\NBK04082026RFA732025_172059.pdf,unclassified,0.476,rules,family_law,unknown,RFA 73/2025 Page 1 of 32,D:\Nova Legal\Indian Legal\Category\unclassified\NBK04082026RFA732025_172059.pdf.metadata.json
2026-08-06T21:03:23.478986+00:00,D:\Nova Legal\Indian Legal\raw\NBK04082026RSA1852024_172035.pdf,D:\Nova Legal\Indian Legal\Category\legal_notices\NBK04082026RSA1852024_172035.pdf,legal_notices,0.6831,rules,partnership_law,unknown,RSA 185/2024 Page 1 of 7,D:\Nova Legal\Indian Legal\Category\legal_notices\NBK04082026RSA1852024_172035.pdf.metadata.json
2026-08-06T21:03:25.968441+00:00,D:\Nova Legal\Indian Legal\raw\NBK04082026RSA572018_171930.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\NBK04082026RSA572018_171930.pdf,unclassified,0.612,rules,arbitration_and_mediation,unknown,RSA 57/2018 Page 1 of 27,D:\Nova Legal\Indian Legal\Category\unclassified\NBK04082026RSA572018_171930.pdf.metadata.json
2026-08-06T21:03:54.306195+00:00,D:\Nova Legal\Indian Legal\raw\NDM_Noti1708095B15D.pdf,D:\Nova Legal\Indian Legal\Category\gazette_publications\NDM_Noti1708095B15D.pdf,gazette_publications,0.728,rules,general_or_mixed,unknown,REGD. NO. D. L.-33004/99,D:\Nova Legal\Indian Legal\Category\gazette_publications\NDM_Noti1708095B15D.pdf.metadata.json
2026-08-06T21:03:57.625088+00:00,D:\Nova Legal\Indian Legal\raw\NDMCACT19441_290420175B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\NDMCACT19441_290420175B15D.pdf,notifications,0.7091,rules,tax_law,notification,THE NEW DELHI MUNICIPAL COUNCIL,D:\Nova Legal\Indian Legal\Category\notifications\NDMCACT19441_290420175B15D.pdf.metadata.json
2026-08-06T21:04:06.591075+00:00,D:\Nova Legal\Indian Legal\raw\Noti2186-0208135B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\Noti2186-0208135B15D.pdf,notifications,0.8545,rules,general_or_mixed,notification,(3M 1—avrs 3(ii) J ANd Al USIIa : AAT 3,D:\Nova Legal\Indian Legal\Category\notifications\Noti2186-0208135B15D.pdf.metadata.json
2026-08-06T21:04:08.980897+00:00,D:\Nova Legal\Indian Legal\raw\Noti80EAllowPrivAmendRule2015_0904155B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\Noti80EAllowPrivAmendRule2015_0904155B15D.pdf,notifications,0.7091,rules,general_or_mixed,notification,o 70--33004/99,D:\Nova Legal\Indian Legal\Category\notifications\Noti80EAllowPrivAmendRule2015_0904155B15D.pdf.metadata.json
2026-08-06T21:04:12.692959+00:00,D:\Nova Legal\Indian Legal\raw\NotiAPReOrgAct_1504145B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\NotiAPReOrgAct_1504145B15D.pdf,notifications,0.8255,rules,general_or_mixed,notification,TT Ao Sto Veto-33004/99 REGD. NO. D.L.-33004/99,D:\Nova Legal\Indian Legal\Category\notifications\NotiAPReOrgAct_1504145B15D.pdf.metadata.json
2026-08-06T21:04:17.322562+00:00,D:\Nova Legal\Indian Legal\raw\notice_of_dhjs.pdf,D:\Nova Legal\Indian Legal\Category\high_court_orders\notice_of_dhjs.pdf,high_court_orders,0.6973,rules,general_or_mixed,high_court,HIGH COURT OF DELHI: NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_orders\notice_of_dhjs.pdf.metadata.json
